policy, hits, cacheSize, distribution
fifo,10017, 10, uniform
random,9965, 10, uniform
lfu,9847, 10, uniform
lru,10009, 10, uniform
fifo,180161, 10, zipf
random,180143, 10, zipf
lfu,376623, 10, zipf
lru,192734, 10, zipf
fifo,2697, 10, randomgenerator
random,50405, 10, randomgenerator
lfu,9530, 10, randomgenerator
lru,2688, 10, randomgenerator
fifo,19838, 20, uniform
random,19733, 20, uniform
lfu,19685, 20, uniform
lru,19853, 20, uniform
fifo,267107, 20, zipf
random,266979, 20, zipf
lfu,471471, 20, zipf
lru,293846, 20, zipf
fifo,18874, 20, randomgenerator
random,171421, 20, randomgenerator
lfu,19648, 20, randomgenerator
lru,15684, 20, randomgenerator
fifo,29693, 30, uniform
random,29913, 30, uniform
lfu,29770, 30, uniform
lru,29688, 30, uniform
fifo,323796, 30, zipf
random,323915, 30, zipf
lfu,525009, 30, zipf
lru,357851, 30, zipf
fifo,335088, 30, randomgenerator
random,240310, 30, randomgenerator
lfu,29857, 30, randomgenerator
lru,335578, 30, randomgenerator
fifo,39608, 40, uniform
random,39442, 40, uniform
lfu,39518, 40, uniform
lru,39579, 40, uniform
fifo,366444, 40, zipf
random,366661, 40, zipf
lfu,563221, 40, zipf
lru,404038, 40, zipf
fifo,334643, 40, randomgenerator
random,269344, 40, randomgenerator
lfu,39822, 40, randomgenerator
lru,335666, 40, randomgenerator
fifo,49614, 50, uniform
random,49652, 50, uniform
lfu,49812, 50, uniform
lru,49633, 50, uniform
fifo,401854, 50, zipf
random,401903, 50, zipf
lfu,593920, 50, zipf
lru,441269, 50, zipf
fifo,342298, 50, randomgenerator
random,291737, 50, randomgenerator
lfu,50128, 50, randomgenerator
lru,343496, 50, randomgenerator
fifo,59445, 60, uniform
random,59442, 60, uniform
lfu,59481, 60, uniform
lru,59448, 60, uniform
fifo,430818, 60, zipf
random,430942, 60, zipf
lfu,617202, 60, zipf
lru,471189, 60, zipf
fifo,353481, 60, randomgenerator
random,311979, 60, randomgenerator
lfu,59785, 60, randomgenerator
lru,354868, 60, randomgenerator
fifo,69458, 70, uniform
random,69255, 70, uniform
lfu,69191, 70, uniform
lru,69457, 70, uniform
fifo,454887, 70, zipf
random,455139, 70, zipf
lfu,636740, 70, zipf
lru,495988, 70, zipf
fifo,356779, 70, randomgenerator
random,323634, 70, randomgenerator
lfu,71739, 70, randomgenerator
lru,358209, 70, randomgenerator
fifo,79220, 80, uniform
random,79555, 80, uniform
lfu,78797, 80, uniform
lru,79238, 80, uniform
fifo,477963, 80, zipf
random,477566, 80, zipf
lfu,655589, 80, zipf
lru,519449, 80, zipf
fifo,363102, 80, randomgenerator
random,335161, 80, randomgenerator
lfu,79964, 80, randomgenerator
lru,364203, 80, randomgenerator
fifo,89347, 90, uniform
random,89349, 90, uniform
lfu,89400, 90, uniform
lru,89391, 90, uniform
fifo,497581, 90, zipf
random,498281, 90, zipf
lfu,671380, 90, zipf
lru,539114, 90, zipf
fifo,372719, 90, randomgenerator
random,348033, 90, randomgenerator
lfu,90710, 90, randomgenerator
lru,374050, 90, randomgenerator
fifo,99588, 100, uniform
random,99026, 100, uniform
lfu,98935, 100, uniform
lru,99543, 100, uniform
fifo,515492, 100, zipf
random,515607, 100, zipf
lfu,685452, 100, zipf
lru,556884, 100, zipf
fifo,381729, 100, randomgenerator
random,360035, 100, randomgenerator
lfu,102084, 100, randomgenerator
lru,383011, 100, randomgenerator
fifo,109229, 110, uniform
random,109064, 110, uniform
lfu,108946, 110, uniform
lru,109018, 110, uniform
fifo,533136, 110, zipf
random,532781, 110, zipf
lfu,698441, 110, zipf
lru,574755, 110, zipf
fifo,388108, 110, randomgenerator
random,369550, 110, randomgenerator
lfu,109032, 110, randomgenerator
lru,389340, 110, randomgenerator
fifo,118354, 120, uniform
random,118560, 120, uniform
lfu,119195, 120, uniform
lru,118338, 120, uniform
fifo,547217, 120, zipf
random,547287, 120, zipf
lfu,708730, 120, zipf
lru,588344, 120, zipf
fifo,392008, 120, randomgenerator
random,375488, 120, randomgenerator
lfu,119573, 120, randomgenerator
lru,393332, 120, randomgenerator
fifo,128264, 130, uniform
random,128836, 130, uniform
lfu,128686, 130, uniform
lru,128377, 130, uniform
fifo,561315, 130, zipf
random,561451, 130, zipf
lfu,720240, 130, zipf
lru,602876, 130, zipf
fifo,399621, 130, randomgenerator
random,385181, 130, randomgenerator
lfu,131773, 130, randomgenerator
lru,400854, 130, randomgenerator
fifo,138813, 140, uniform
random,138684, 140, uniform
lfu,138580, 140, uniform
lru,138834, 140, uniform
fifo,573994, 140, zipf
random,574132, 140, zipf
lfu,729073, 140, zipf
lru,615198, 140, zipf
fifo,402617, 140, randomgenerator
random,389705, 140, randomgenerator
lfu,142650, 140, randomgenerator
lru,403897, 140, randomgenerator
fifo,148018, 150, uniform
random,147946, 150, uniform
lfu,148704, 150, uniform
lru,147920, 150, uniform
fifo,586264, 150, zipf
random,586614, 150, zipf
lfu,738372, 150, zipf
lru,627129, 150, zipf
fifo,411082, 150, randomgenerator
random,398555, 150, randomgenerator
lfu,151389, 150, randomgenerator
lru,412343, 150, randomgenerator
fifo,159261, 160, uniform
random,159264, 160, uniform
lfu,158103, 160, uniform
lru,159305, 160, uniform
fifo,598514, 160, zipf
random,599119, 160, zipf
lfu,747618, 160, zipf
lru,639611, 160, zipf
fifo,419412, 160, randomgenerator
random,407978, 160, randomgenerator
lfu,162426, 160, randomgenerator
lru,420206, 160, randomgenerator
fifo,168709, 170, uniform
random,168491, 170, uniform
lfu,168691, 170, uniform
lru,168655, 170, uniform
fifo,609956, 170, zipf
random,610193, 170, zipf
lfu,755806, 170, zipf
lru,650661, 170, zipf
fifo,425347, 170, randomgenerator
random,415346, 170, randomgenerator
lfu,170466, 170, randomgenerator
lru,426381, 170, randomgenerator
fifo,178906, 180, uniform
random,178757, 180, uniform
lfu,177694, 180, uniform
lru,178748, 180, uniform
fifo,619948, 180, zipf
random,619844, 180, zipf
lfu,762413, 180, zipf
lru,660214, 180, zipf
fifo,430810, 180, randomgenerator
random,421254, 180, randomgenerator
lfu,178556, 180, randomgenerator
lru,431875, 180, randomgenerator
fifo,187863, 190, uniform
random,188537, 190, uniform
lfu,187974, 190, uniform
lru,188117, 190, uniform
fifo,630184, 190, zipf
random,631222, 190, zipf
lfu,770162, 190, zipf
lru,670169, 190, zipf
fifo,439604, 190, randomgenerator
random,430737, 190, randomgenerator
lfu,192064, 190, randomgenerator
lru,440344, 190, randomgenerator
fifo,197714, 200, uniform
random,197585, 200, uniform
lfu,197697, 200, uniform
lru,197466, 200, uniform
fifo,638790, 200, zipf
random,639475, 200, zipf
lfu,776051, 200, zipf
lru,678694, 200, zipf
fifo,445862, 200, randomgenerator
random,438606, 200, randomgenerator
lfu,201342, 200, randomgenerator
lru,447148, 200, randomgenerator
